p cnf 100 65
-76 22 -62 0
-29 -80 8 0
61 -63 76 0
100 -26 9 0
-54 93 57 0
-62 84 -98 0
-95 64 97 0
32 87 -3 0
39 -26 -48 0
38 -13 -3 0
57 -65 37 0
63 -73 68 0
-99 83 -87 0
52 22 41 0
-80 -98 -92 0
19 70 -88 0
3 56 79 0
-13 -26 -75 0
36 35 -90 0
14 -62 17 0
-96 -89 85 0
-58 63 -15 0
-64 -27 98 0
97 87 48 0
21 6 24 0
-89 -72 26 0
48 2 -55 0
-67 -99 74 0
-16 -64 31 0
76 -3 52 0
72 -1 87 0
-89 51 -47 0
99 -93 29 0
-99 -19 39 0
87 61 1 0
4 -64 -53 0
-86 54 -32 0
-98 -80 48 0
79 94 -68 0
12 -42 66 0
-23 -10 -83 0
-78 63 -87 0
-26 51 -41 0
-13 38 -66 0
-90 -65 -80 0
-51 69 -62 0
83 58 -19 0
-13 -44 79 0
-94 45 -63 0
44 13 36 0
35 40 -74 0
28 -51 71 0
-26 61 -29 0
6 24 -95 0
20 -62 41 0
87 -2 -3 0
2 17 47 0
11 13 53 0
-82 -47 -73 0
-84 -94 66 0
-9 -19 88 0
25 4 -36 0
-10 34 -5 0
-56 -89 -90 0
4 55 -16 0
